TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_BIRTH,REGION_RATING_CLIENT
0,Cash loans,F,108000,483930,Commercial associate,Secondary / secondary special,Married,-9897,2
0,Cash loans,M,180000,225000,Working,Secondary / secondary special,Married,-24578,2
0,Cash loans,F,171000,2013840,Working,Secondary / secondary special,Married,-12916,2
1,Cash loans,F,76500,545040,Working,Secondary / secondary special,Single / not married,-8439,2
0,Cash loans,F,90000,170640,Pensioner,Secondary / secondary special,Widow,-24384,2
0,Cash loans,M,243000,675000,Working,Secondary / secondary special,Married,-14866,2
0,Cash loans,M,90000,675000,Working,Secondary / secondary special,Widow,-18793,2
1,Cash loans,M,157500,808650,Working,Secondary / secondary special,Married,-20412,2
0,Cash loans,F,81000,315000,Working,Secondary / secondary special,Married,-12635,2
0,Cash loans,M,193500,323388,Commercial associate,Lower secondary,Married,-9325,1
0,Cash loans,M,157500,485640,Commercial associate,Higher education,Single / not married,-10513,3
0,Cash loans,M,225000,445500,Working,Higher education,Married,-20446,1
0,Cash loans,F,90000,497520,State servant,Higher education,Married,-19502,2
0,Cash loans,F,360000,684000,Commercial associate,Higher education,Widow,-16336,2
0,Cash loans,F,90000,90000,Commercial associate,Incomplete higher,Single / not married,-8770,3
0,Cash loans,F,157500,755190,Pensioner,Higher education,Married,-21519,2
0,Revolving loans,M,607500,1350000,Commercial associate,Higher education,Married,-13530,1
1,Revolving loans,F,90000,247500,Working,Secondary / secondary special,Married,-17957,2
0,Cash loans,F,146250,582228,State servant,Secondary / secondary special,Widow,-19281,3
0,Cash loans,F,450000,959598,Pensioner,Higher education,Married,-22094,2
0,Cash loans,F,202500,1019844,Pensioner,Higher education,Married,-21513,2
0,Cash loans,F,112500,454500,Working,Secondary / secondary special,Single / not married,-10899,2
0,Cash loans,M,234000,570739.5,Working,Secondary / secondary special,Married,-17984,2
0,Cash loans,M,112500,537763.5,Pensioner,Higher education,Widow,-22205,2
1,Cash loans,F,90000,808650,Working,Secondary / secondary special,Married,-14324,3
0,Cash loans,F,90000,315000,Working,Secondary / secondary special,Married,-12509,3
0,Cash loans,F,135000,391090.5,Working,Secondary / secondary special,Married,-13990,3
0,Cash loans,F,103500,1350000,Working,Higher education,Married,-12922,3
0,Cash loans,F,225000,544491,Working,Higher education,Civil marriage,-13528,2
0,Cash loans,F,90000,219870,Working,Secondary / secondary special,Single / not married,-10461,2
0,Cash loans,M,225000,675000,Working,Higher education,Married,-15366,2
0,Cash loans,M,157500,921330,Commercial associate,Secondary / secondary special,Married,-9408,2
0,Cash loans,F,112500,808650,Working,Secondary / secondary special,Civil marriage,-14674,3
1,Cash loans,F,96750,942300,Working,Secondary / secondary special,Married,-14083,3
0,Revolving loans,M,135000,270000,State servant,Secondary / secondary special,Single / not married,-8528,2
0,Cash loans,F,283500,1006920,Commercial associate,Secondary / secondary special,Married,-19494,2
0,Cash loans,F,108000,285723,Working,Secondary / secondary special,Married,-14277,2
0,Cash loans,M,225000,202500,Commercial associate,Secondary / secondary special,Married,-16984,2
0,Cash loans,F,90000,76410,Working,Secondary / secondary special,Married,-13194,2
0,Cash loans,F,67500,140746.5,Working,Secondary / secondary special,Married,-10565,2
0,Revolving loans,F,67500,675000,Working,Secondary / secondary special,Married,-20043,2
0,Cash loans,F,135000,373311,Working,Higher education,Married,-11686,2
0,Cash loans,F,67500,225000,Working,Higher education,Married,-18898,2
0,Cash loans,M,90000,284400,Working,Higher education,Married,-8596,2
0,Cash loans,M,180000,450000,Commercial associate,Secondary / secondary special,Married,-15575,2
0,Cash loans,M,175500,1574532,Commercial associate,Secondary / secondary special,Married,-18982,1
0,Cash loans,F,112500,284400,Working,Higher education,Civil marriage,-13126,3
0,Cash loans,M,130500,325908,Pensioner,Secondary / secondary special,Married,-20710,2
0,Cash loans,F,112500,675000,Working,Higher education,Married,-10210,2
0,Cash loans,F,202500,728460,Working,Higher education,Separated,-15140,2
0,Revolving loans,M,261000,202500,State servant,Secondary / secondary special,Married,-12731,2
0,Cash loans,F,225000,1078200,Commercial associate,Secondary / secondary special,Married,-13933,1
0,Cash loans,F,67500,904500,Pensioner,Secondary / secondary special,Married,-23719,2
0,Cash loans,M,225000,1082214,Commercial associate,Secondary / secondary special,Married,-16886,1
0,Revolving loans,F,270000,270000,Working,Higher education,Civil marriage,-14846,2
0,Cash loans,F,76500,157500,Working,Higher education,Married,-12568,3
0,Cash loans,F,157500,1350000,Pensioner,Secondary / secondary special,Civil marriage,-20872,2
0,Cash loans,F,36000,910890,Pensioner,Secondary / secondary special,Married,-20859,2
1,Cash loans,F,180000,1024740,Working,Secondary / secondary special,Single / not married,-8095,2
1,Cash loans,F,112500,454500,Commercial associate,Secondary / secondary special,Married,-18729,2
0,Cash loans,F,180000,675000,Pensioner,Secondary / secondary special,Married,-22476,2
0,Cash loans,F,225000,189000,Commercial associate,Secondary / secondary special,Married,-11519,2
0,Cash loans,F,180000,389844,Pensioner,Secondary / secondary special,Widow,-22992,2
0,Cash loans,M,225000,540000,Commercial associate,Higher education,Single / not married,-15330,2
0,Cash loans,F,225000,536917.5,Working,Secondary / secondary special,Married,-15241,2
